0.38,0.568,0.701,0.794
0.281,0.551,0.665,0.915
0.434,0.715,0.807,1.007
0.114,0.378,0.584,0.712
0.332,0.436,0.664,0.77
0.548,0.635,0.944,1.074
0.158,0.59,0.591,0.661
0.481,0.529,0.662,0.763
0.26,0.682,0.555,0.636
0.24,0.582,0.67,0.667
